region,year,month,temperature_celsius
AllIndia,2000,11,23.74
AllIndia,2000,12,20.64
AllIndia,2001,1,19.68
AllIndia,2001,2,21.89
AllIndia,2001,3,25.26
AllIndia,2001,4,27.97
AllIndia,2001,5,29.96
AllIndia,2001,6,28.75
AllIndia,2001,7,27.81
AllIndia,2001,8,27.63
AllIndia,2001,9,27.48
AllIndia,2001,10,26.39
AllIndia,2001,11,23.67
AllIndia,2001,12,20.76
AllIndia,2002,1,19.71
AllIndia,2002,2,21.76
AllIndia,2002,3,25.55
AllIndia,2002,4,28.35
AllIndia,2002,5,30.15
AllIndia,2002,6,29.27
AllIndia,2002,7,28.35
AllIndia,2002,8,27.76
AllIndia,2002,9,27.29
AllIndia,2002,10,26.27
AllIndia,2002,11,23.53
AllIndia,2002,12,20.9
AllIndia,2003,1,19.51
AllIndia,2003,2,21.92
AllIndia,2003,3,25.29
AllIndia,2003,4,28.33
AllIndia,2003,5,29.88
AllIndia,2003,6,29.47
AllIndia,2003,7,27.86
AllIndia,2003,8,27.66
AllIndia,2003,9,27.4
AllIndia,2003,10,25.95
AllIndia,2003,11,23.37
AllIndia,2003,12,20.66
AllIndia,2004,1,19.62
AllIndia,2004,2,21.9
AllIndia,2004,3,26.25
AllIndia,2004,4,28.52
AllIndia,2004,5,29.55
AllIndia,2004,6,28.92
AllIndia,2004,7,28.03
AllIndia,2004,8,27.65
AllIndia,2004,9,27.49
AllIndia,2004,10,25.59
AllIndia,2004,11,23.46
AllIndia,2004,12,20.87
AllIndia,2005,1,19.81
AllIndia,2005,2,21.79
AllIndia,2005,3,25.46
AllIndia,2005,4,28.0
AllIndia,2005,5,29.64
AllIndia,2005,6,29.76
AllIndia,2005,7,27.95
AllIndia,2005,8,27.81
AllIndia,2005,9,27.46
AllIndia,2005,10,25.95
AllIndia,2005,11,23.03
AllIndia,2005,12,20.33
AllIndia,2006,1,19.92
AllIndia,2006,2,22.87
AllIndia,2006,3,25.16
AllIndia,2006,4,28.1
AllIndia,2006,5,29.81
AllIndia,2006,6,28.99
AllIndia,2006,7,28.3
AllIndia,2006,8,27.54
AllIndia,2006,9,27.25
AllIndia,2006,10,26.36
AllIndia,2006,11,23.59
AllIndia,2006,12,20.81
AllIndia,2007,1,19.95
AllIndia,2007,2,21.88
AllIndia,2007,3,24.88
AllIndia,2007,4,28.61
AllIndia,2007,5,30.05
AllIndia,2007,6,29.17
AllIndia,2007,7,28.2
AllIndia,2007,8,27.74
AllIndia,2007,9,27.34
AllIndia,2007,10,26.07
AllIndia,2007,11,23.57
AllIndia,2007,12,20.62
AllIndia,2008,1,19.5
AllIndia,2008,2,21.03
AllIndia,2008,3,25.52
AllIndia,2008,4,27.89
AllIndia,2008,5,29.69
AllIndia,2008,6,28.66
AllIndia,2008,7,28.0
AllIndia,2008,8,27.42
AllIndia,2008,9,27.31
AllIndia,2008,10,26.5
AllIndia,2008,11,23.61
AllIndia,2008,12,21.46
AllIndia,2009,1,20.5
AllIndia,2009,2,22.67
AllIndia,2009,3,25.72
AllIndia,2009,4,28.63
AllIndia,2009,5,30.03
AllIndia,2009,6,29.76
AllIndia,2009,7,28.39
AllIndia,2009,8,28.19
AllIndia,2009,9,27.86
AllIndia,2009,10,26.33
AllIndia,2009,11,23.5
AllIndia,2009,12,21.0
AllIndia,2010,1,19.89
AllIndia,2010,2,22.3
AllIndia,2010,3,26.67
AllIndia,2010,4,29.48
AllIndia,2010,5,30.53
AllIndia,2010,6,29.53
AllIndia,2010,7,28.14
AllIndia,2010,8,27.77
AllIndia,2010,9,27.36
AllIndia,2010,10,26.58
AllIndia,2010,11,23.92
AllIndia,2010,12,20.25
AllIndia,2011,1,19.13
AllIndia,2011,2,21.91
AllIndia,2011,3,25.34
AllIndia,2011,4,27.63
AllIndia,2011,5,30.05
AllIndia,2011,6,29.28
AllIndia,2011,7,28.1
AllIndia,2011,8,27.58
AllIndia,2011,9,27.27
AllIndia,2011,10,26.54
AllIndia,2011,11,23.85
AllIndia,2011,12,20.75
AllIndia,2012,1,19.28
AllIndia,2012,2,21.45
AllIndia,2012,3,25.1
AllIndia,2012,4,28.21
AllIndia,2012,5,30.14
AllIndia,2012,6,29.86
AllIndia,2012,7,28.36
AllIndia,2012,8,27.6
AllIndia,2012,9,27.23
AllIndia,2012,10,25.97
AllIndia,2012,11,23.17
AllIndia,2012,12,20.84
AllIndia,2013,1,19.7
AllIndia,2013,2,22.15
AllIndia,2013,3,25.59
AllIndia,2013,4,28.17
AllIndia,2013,5,30.36
AllIndia,2013,6,29.02
AllIndia,2013,7,27.89
AllIndia,2013,8,27.58
AllIndia,2013,9,27.64
AllIndia,2013,10,26.39
AllIndia,2013,11,23.17
AllIndia,2013,12,20.51
AllIndia,2014,1,19.77
AllIndia,2014,2,21.29
AllIndia,2014,3,24.72
AllIndia,2014,4,28.38
AllIndia,2014,5,29.76
AllIndia,2014,6,30.34
AllIndia,2014,7,28.54
AllIndia,2014,8,27.96
AllIndia,2014,9,27.44
AllIndia,2014,10,26.49
AllIndia,2014,11,23.72
AllIndia,2014,12,20.41
AllIndia,2015,1,19.72
AllIndia,2015,2,22.38
AllIndia,2015,3,24.9
AllIndia,2015,4,27.74
AllIndia,2015,5,30.24
AllIndia,2015,6,29.15
AllIndia,2015,7,28.64
AllIndia,2015,8,28.05
AllIndia,2015,9,27.98
AllIndia,2015,10,27.03
AllIndia,2015,11,24.09
AllIndia,2015,12,21.13
AllIndia,2016,1,20.45
AllIndia,2016,2,23.15
AllIndia,2016,3,26.26
AllIndia,2016,4,29.32
AllIndia,2016,5,30.34
AllIndia,2016,6,29.67
AllIndia,2016,7,28.09
AllIndia,2016,8,28.05
AllIndia,2016,9,27.59
AllIndia,2016,10,26.59
AllIndia,2016,11,23.53
AllIndia,2016,12,21.4
AllIndia,2017,1,20.06
AllIndia,2017,2,22.68
AllIndia,2017,3,25.24
AllIndia,2017,4,28.95
AllIndia,2017,5,30.42
AllIndia,2017,6,29.36
AllIndia,2017,7,28.19
AllIndia,2017,8,28.0
AllIndia,2017,9,28.03
AllIndia,2017,10,27.04
AllIndia,2017,11,23.52
AllIndia,2017,12,20.95
AllIndia,2018,1,19.9
AllIndia,2018,2,22.58
AllIndia,2018,3,26.01
AllIndia,2018,4,28.48
AllIndia,2018,5,29.99
AllIndia,2018,6,29.58
AllIndia,2018,7,28.19
AllIndia,2018,8,27.73
AllIndia,2018,9,27.63
AllIndia,2018,10,26.42
AllIndia,2018,11,23.84
AllIndia,2018,12,20.41
AllIndia,2019,1,19.62
AllIndia,2019,2,21.8
AllIndia,2019,3,24.92
AllIndia,2019,4,28.82
AllIndia,2019,5,30.27
AllIndia,2019,6,30.26
AllIndia,2019,7,28.65
AllIndia,2019,8,27.92
AllIndia,2019,9,27.56
AllIndia,2019,10,26.22
AllIndia,2019,11,23.93
AllIndia,2019,12,20.32
AllIndia,2020,1,19.65
AllIndia,2020,2,21.93
AllIndia,2020,3,24.76
AllIndia,2020,4,28.14
AllIndia,2020,5,29.84
AllIndia,2020,6,29.11
AllIndia,2020,7,28.54
AllIndia,2020,8,28.13
AllIndia,2020,9,28.03
AllIndia,2020,10,26.96
AllIndia,2020,11,23.48
AllIndia,2020,12,20.82
AllIndia,2021,1,20.31
AllIndia,2021,2,22.55
AllIndia,2021,3,26.3
AllIndia,2021,4,28.42
AllIndia,2021,5,29.17
AllIndia,2021,6,29.07
AllIndia,2021,7,28.52
AllIndia,2021,8,28.07
AllIndia,2021,9,27.79
AllIndia,2021,10,26.79
AllIndia,2021,11,23.47
AllIndia,2021,12,20.72
