region,year,month,rainfall_mm
ARUNACHAL PRADESH,1909,7,6.668811321258545
ARUNACHAL PRADESH,1909,8,9.448162078857422
ARUNACHAL PRADESH,1909,9,9.79677677154541
ARUNACHAL PRADESH,1909,10,7.193329811096191
ARUNACHAL PRADESH,1909,11,7.051638603210449
ARUNACHAL PRADESH,1909,12,8.71023178100586
ARUNACHAL PRADESH,1910,1,11.007708549499512
ARUNACHAL PRADESH,1910,2,8.963563919067383
ARUNACHAL PRADESH,1910,3,8.213173866271973
ARUNACHAL PRADESH,1910,4,7.305794715881348
ARUNACHAL PRADESH,1910,5,4.22206974029541
ARUNACHAL PRADESH,1910,6,7.470321178436279
ARUNACHAL PRADESH,1910,7,8.53037166595459
ARUNACHAL PRADESH,1910,8,8.102261543273926
ARUNACHAL PRADESH,1910,9,4.445920467376709
ARUNACHAL PRADESH,1910,10,8.54301643371582
ARUNACHAL PRADESH,1910,11,8.493789672851562
ARUNACHAL PRADESH,1910,12,8.185068130493164
ARUNACHAL PRADESH,1911,1,6.042148113250732
ARUNACHAL PRADESH,1911,2,7.288295269012451
ARUNACHAL PRADESH,1911,3,9.09555721282959
ARUNACHAL PRADESH,1911,4,9.348272323608398
ARUNACHAL PRADESH,1911,5,7.631621360778809
ARUNACHAL PRADESH,1911,6,8.352946281433105
ARUNACHAL PRADESH,1911,7,9.057465553283691
ARUNACHAL PRADESH,1911,8,10.104605674743652
ARUNACHAL PRADESH,1911,9,8.481407165527344
ARUNACHAL PRADESH,1911,10,11.712315559387207
ARUNACHAL PRADESH,1911,11,10.918655395507812
ARUNACHAL PRADESH,1911,12,9.666522979736328
ARUNACHAL PRADESH,1912,1,6.193789958953857
ARUNACHAL PRADESH,1912,2,9.299812316894531
ARUNACHAL PRADESH,1912,3,11.106802940368652
ARUNACHAL PRADESH,1912,4,6.7953200340271
ARUNACHAL PRADESH,1912,5,11.120755195617676
ARUNACHAL PRADESH,1912,6,7.547754287719727
ARUNACHAL PRADESH,1912,7,7.978567600250244
ARUNACHAL PRADESH,1912,8,5.333319187164307
ARUNACHAL PRADESH,1912,9,6.956310272216797
ARUNACHAL PRADESH,1912,10,8.169594764709473
ARUNACHAL PRADESH,1912,11,5.352463245391846
ARUNACHAL PRADESH,1912,12,8.736897468566895
ARUNACHAL PRADESH,1913,1,9.153726577758789
ARUNACHAL PRADESH,1913,2,7.064903736114502
ARUNACHAL PRADESH,1913,3,8.533653259277344
ARUNACHAL PRADESH,1913,4,7.331525802612305
ARUNACHAL PRADESH,1913,5,4.657492637634277
ARUNACHAL PRADESH,1913,6,6.015829563140869
ARUNACHAL PRADESH,1913,7,8.084238052368164
ARUNACHAL PRADESH,1913,8,10.918527603149414
ARUNACHAL PRADESH,1913,9,12.755367279052734
ARUNACHAL PRADESH,1913,10,14.366765975952148
ARUNACHAL PRADESH,1913,11,11.336448669433594
ARUNACHAL PRADESH,1913,12,12.005617141723633
ARUNACHAL PRADESH,1914,1,4.716738700866699
ARUNACHAL PRADESH,1914,2,4.558559894561768
ARUNACHAL PRADESH,1914,3,5.1524434089660645
ARUNACHAL PRADESH,1914,4,5.285581111907959
ARUNACHAL PRADESH,1914,5,6.329823017120361
ARUNACHAL PRADESH,1914,6,10.210227966308594
ARUNACHAL PRADESH,1914,7,5.992152214050293
ARUNACHAL PRADESH,1914,8,6.902918815612793
ARUNACHAL PRADESH,1914,9,7.925424098968506
ARUNACHAL PRADESH,1914,10,6.384181022644043
ARUNACHAL PRADESH,1914,11,6.695525646209717
ARUNACHAL PRADESH,1914,12,4.3272199630737305
ARUNACHAL PRADESH,1915,1,10.061078071594238
ARUNACHAL PRADESH,1915,2,5.477212429046631
ARUNACHAL PRADESH,1915,3,6.437071800231934
ARUNACHAL PRADESH,1915,4,7.831489086151123
ARUNACHAL PRADESH,1915,5,6.060755252838135
ARUNACHAL PRADESH,1915,6,6.078250885009766
ARUNACHAL PRADESH,1915,7,5.854019641876221
ARUNACHAL PRADESH,1915,8,6.751851558685303
ARUNACHAL PRADESH,1915,9,8.603995323181152
ARUNACHAL PRADESH,1915,10,6.701535224914551
ARUNACHAL PRADESH,1915,11,3.950176239013672
ARUNACHAL PRADESH,1915,12,9.69237232208252
ARUNACHAL PRADESH,1916,1,5.867935657501221
ARUNACHAL PRADESH,1916,2,8.522923469543457
ARUNACHAL PRADESH,1916,3,9.928858757019043
ARUNACHAL PRADESH,1916,4,10.345494270324707
ARUNACHAL PRADESH,1916,5,9.16712760925293
ARUNACHAL PRADESH,1916,6,8.332755088806152
ARUNACHAL PRADESH,1916,7,4.383860111236572
ARUNACHAL PRADESH,1916,8,7.837456703186035
ARUNACHAL PRADESH,1916,9,7.139326095581055
ARUNACHAL PRADESH,1916,10,4.263970375061035
ARUNACHAL PRADESH,1916,11,3.3180010318756104
ARUNACHAL PRADESH,1916,12,6.358136177062988
ARUNACHAL PRADESH,1917,1,10.519766807556152
ARUNACHAL PRADESH,1917,2,6.326291084289551
ARUNACHAL PRADESH,1917,3,7.035325050354004
ARUNACHAL PRADESH,1917,4,7.103240489959717
ARUNACHAL PRADESH,1917,5,4.599918842315674
ARUNACHAL PRADESH,1917,6,5.2811360359191895
ARUNACHAL PRADESH,1917,7,5.71101713180542
ARUNACHAL PRADESH,1917,8,5.178573131561279
ARUNACHAL PRADESH,1917,9,5.519444465637207
ARUNACHAL PRADESH,1917,10,7.032937049865723
ARUNACHAL PRADESH,1917,11,9.371671676635742
ARUNACHAL PRADESH,1917,12,10.7872314453125
ARUNACHAL PRADESH,1918,1,11.399569511413574
ARUNACHAL PRADESH,1918,2,8.94801139831543
ARUNACHAL PRADESH,1918,3,4.573695659637451
ARUNACHAL PRADESH,1918,4,5.789865016937256
ARUNACHAL PRADESH,1918,5,4.843498706817627
ARUNACHAL PRADESH,1918,6,6.227272987365723
ARUNACHAL PRADESH,1918,7,10.3937406539917
ARUNACHAL PRADESH,1918,8,7.080456256866455
ARUNACHAL PRADESH,1918,9,7.835295677185059
ARUNACHAL PRADESH,1918,10,7.293516635894775
ARUNACHAL PRADESH,1918,11,9.361123085021973
ARUNACHAL PRADESH,1918,12,8.4617338180542
ARUNACHAL PRADESH,1919,1,5.153943061828613
ARUNACHAL PRADESH,1919,2,4.621549606323242
ARUNACHAL PRADESH,1919,3,5.959168910980225
ARUNACHAL PRADESH,1919,4,9.909438133239746
ARUNACHAL PRADESH,1919,5,8.699183464050293
ARUNACHAL PRADESH,1919,6,5.975340366363525
ARUNACHAL PRADESH,1919,7,5.884513854980469
ARUNACHAL PRADESH,1919,8,4.593485355377197
ARUNACHAL PRADESH,1919,9,5.311068534851074
ARUNACHAL PRADESH,1919,10,9.190224647521973
ARUNACHAL PRADESH,1919,11,5.706109523773193
ARUNACHAL PRADESH,1919,12,7.337193965911865
ARUNACHAL PRADESH,1920,1,6.406289100646973
ARUNACHAL PRADESH,1920,2,3.186103105545044
ARUNACHAL PRADESH,1920,3,5.185730457305908
ARUNACHAL PRADESH,1920,4,4.723438262939453
ARUNACHAL PRADESH,1920,5,6.191819667816162
ARUNACHAL PRADESH,1920,6,5.391568660736084
ARUNACHAL PRADESH,1920,7,4.219849586486816
ARUNACHAL PRADESH,1920,8,4.360069274902344
ARUNACHAL PRADESH,1920,9,6.8191304206848145
ARUNACHAL PRADESH,1920,10,6.0490031242370605
ARUNACHAL PRADESH,1920,11,5.416998386383057
ARUNACHAL PRADESH,1920,12,9.966450691223145
ARUNACHAL PRADESH,1921,1,8.955812454223633
ARUNACHAL PRADESH,1921,2,7.4937286376953125
ARUNACHAL PRADESH,1921,3,7.256752014160156
ARUNACHAL PRADESH,1921,4,9.491293907165527
ARUNACHAL PRADESH,1921,5,8.141524314880371
ARUNACHAL PRADESH,1921,6,4.823847770690918
ARUNACHAL PRADESH,1921,7,4.263885974884033
ARUNACHAL PRADESH,1921,8,5.92386531829834
ARUNACHAL PRADESH,1921,9,5.680959701538086
ARUNACHAL PRADESH,1921,10,8.864086151123047
ARUNACHAL PRADESH,1921,11,10.221431732177734
ARUNACHAL PRADESH,1921,12,11.206541061401367
ARUNACHAL PRADESH,1922,1,9.029243469238281
ARUNACHAL PRADESH,1922,2,7.046036243438721
ARUNACHAL PRADESH,1922,3,4.628660678863525
ARUNACHAL PRADESH,1922,4,6.028591632843018
ARUNACHAL PRADESH,1922,5,4.394177436828613
ARUNACHAL PRADESH,1922,6,6.632576942443848
ARUNACHAL PRADESH,1922,7,5.283796310424805
ARUNACHAL PRADESH,1922,8,8.476829528808594
ARUNACHAL PRADESH,1922,9,5.146257400512695
ARUNACHAL PRADESH,1922,10,6.479856967926025
ARUNACHAL PRADESH,1922,11,4.409798622131348
ARUNACHAL PRADESH,1922,12,6.054427146911621
ARUNACHAL PRADESH,1923,1,8.011824607849121
ARUNACHAL PRADESH,1923,2,5.747395992279053
ARUNACHAL PRADESH,1923,3,5.700499057769775
ARUNACHAL PRADESH,1923,4,6.508211612701416
ARUNACHAL PRADESH,1923,5,6.729915142059326
ARUNACHAL PRADESH,1923,6,7.6221089363098145
ARUNACHAL PRADESH,1923,7,5.756289482116699
ARUNACHAL PRADESH,1923,8,5.099384784698486
ARUNACHAL PRADESH,1923,9,5.376753807067871
ARUNACHAL PRADESH,1923,10,3.8107786178588867
ARUNACHAL PRADESH,1923,11,5.917787075042725
ARUNACHAL PRADESH,1923,12,6.483381748199463
ARUNACHAL PRADESH,1924,1,8.002516746520996
ARUNACHAL PRADESH,1924,2,5.60819673538208
ARUNACHAL PRADESH,1924,3,6.980236053466797
ARUNACHAL PRADESH,1924,4,8.641590118408203
ARUNACHAL PRADESH,1924,5,8.4517183303833
ARUNACHAL PRADESH,1924,6,6.1668877601623535
ARUNACHAL PRADESH,1924,7,5.631756782531738
ARUNACHAL PRADESH,1924,8,8.437325477600098
ARUNACHAL PRADESH,1924,9,7.01148796081543
ARUNACHAL PRADESH,1924,10,6.583755970001221
ARUNACHAL PRADESH,1924,11,5.375240802764893
ARUNACHAL PRADESH,1924,12,4.227997303009033
ARUNACHAL PRADESH,1925,1,7.1029839515686035
ARUNACHAL PRADESH,1925,2,8.49271297454834
ARUNACHAL PRADESH,1925,3,8.518871307373047
ARUNACHAL PRADESH,1925,4,7.05488920211792
ARUNACHAL PRADESH,1925,5,9.127443313598633
ARUNACHAL PRADESH,1925,6,6.832197666168213
ARUNACHAL PRADESH,1925,7,8.411304473876953
ARUNACHAL PRADESH,1925,8,5.73715877532959
ARUNACHAL PRADESH,1925,9,5.234273910522461
ARUNACHAL PRADESH,1925,10,5.256988048553467
ARUNACHAL PRADESH,1925,11,5.771050930023193
ARUNACHAL PRADESH,1925,12,7.22883939743042
ARUNACHAL PRADESH,1926,1,4.338679313659668
ARUNACHAL PRADESH,1926,2,4.371240139007568
ARUNACHAL PRADESH,1926,3,6.3606109619140625
ARUNACHAL PRADESH,1926,4,4.8968610763549805
ARUNACHAL PRADESH,1926,5,7.982924938201904
ARUNACHAL PRADESH,1926,6,7.22057580947876
ARUNACHAL PRADESH,1926,7,5.758240699768066
ARUNACHAL PRADESH,1926,8,6.615533351898193
ARUNACHAL PRADESH,1926,9,4.752786636352539
ARUNACHAL PRADESH,1926,10,5.968931198120117
ARUNACHAL PRADESH,1926,11,6.240154266357422
ARUNACHAL PRADESH,1926,12,5.272398471832275
ARUNACHAL PRADESH,1927,1,7.283809185028076
ARUNACHAL PRADESH,1927,2,5.541417121887207
ARUNACHAL PRADESH,1927,3,6.7338433265686035
ARUNACHAL PRADESH,1927,4,6.238684177398682
ARUNACHAL PRADESH,1927,5,7.19305419921875
ARUNACHAL PRADESH,1927,6,5.030054092407227
ARUNACHAL PRADESH,1927,7,8.109559059143066
ARUNACHAL PRADESH,1927,8,9.016755104064941
ARUNACHAL PRADESH,1927,9,8.558513641357422
ARUNACHAL PRADESH,1927,10,9.45752239227295
ARUNACHAL PRADESH,1927,11,7.870877742767334
ARUNACHAL PRADESH,1927,12,5.534638404846191
ARUNACHAL PRADESH,1928,1,7.641785144805908
ARUNACHAL PRADESH,1928,2,9.363009452819824
ARUNACHAL PRADESH,1928,3,7.845413684844971
ARUNACHAL PRADESH,1928,4,10.140358924865723
ARUNACHAL PRADESH,1928,5,5.910243034362793
ARUNACHAL PRADESH,1928,6,7.202913284301758
ARUNACHAL PRADESH,1928,7,8.373363494873047
